,control,trial,covariance,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score
0,False,8.0,50.0,0.08357287701541317,6.0,20.0,True,52.00755751402862,1.1624063798462267,5.206094181276915,0.080530177191324
1,False,19.0,130.0,0.0027175589195451984,19.0,60.0,True,49.63626467311542,0.6255520813783139,6.102092672891746,0.04261778071481959
2,False,2.0,140.0,0.04758980475953447,14.0,60.0,True,50.04983148806538,0.2644914064632128,6.464904349831043,0.03340473858045052
3,False,17.0,40.0,0.014378938734372038,7.0,40.0,True,52.00610391501713,1.1122244674644046,5.397206712473788,0.16194067470348125
4,False,10.0,20.0,0.01510260615919145,6.0,40.0,True,51.751255731711495,1.217001559350113,4.956852532935281,0.071207545089221
5,False,9.0,105.0,2.3487754249147602e-05,37.0,120.0,True,52.26452654889313,1.1616645302504265,5.536213331493574,0.15697506039165382
6,False,1.0,30.0,,,,False,51.013644652203126,1.1365851560966647,5.107857162049657,0.10732509172528186
7,False,6.0,75.0,0.002043518953152404,39.0,100.0,True,50.99670806677574,1.1144675322637383,5.536213331493574,0.1592230054291588
8,False,11.0,5.0,,,,False,49.2674219303216,1.0776198624195974,4.057670802551618,0.3979993879185531
9,False,2.0,25.0,,,,False,50.97065686465497,1.063934411751136,5.157209585242165,0.09374412552594498
10,False,15.0,20.0,0.014378938734372038,13.0,40.0,True,52.78389782106268,1.0988882632000152,4.956852532935281,0.09460007498245793
11,False,10.0,115.0,2.2346981053038265e-05,35.0,120.0,True,53.56907829743047,1.1789687328312135,5.443936646892927,0.013737821599251977
12,False,10.0,140.0,0.0027175589195451984,23.0,60.0,True,54.29361273366274,1.1530471814399272,5.671814154787007,0.016696869078938654
13,False,18.0,75.0,2.235870976719957e-05,32.0,120.0,True,51.901667980659866,0.9072933311947133,5.8908832442597845,0.10607770187040363
14,False,0.0,70.0,0.00042784556456992883,41.0,120.0,True,53.61716319952628,1.1080686011067897,5.847726009252572,0.12684010677404278
15,False,9.0,20.0,0.08357287701541317,3.0,20.0,True,52.57557710246205,1.139047400809164,5.058023217591067,0.1535285336055696
16,False,3.0,115.0,0.00010854035667974223,45.0,100.0,True,56.98081956644752,0.6997385918625874,5.847726009252572,0.01645044782103759
17,False,11.0,75.0,0.00011433460617645325,29.0,100.0,True,51.80461805428386,0.9698481384896903,5.3025115238676035,0.22483635808406577
18,False,18.0,5.0,,,,False,51.64634286620087,0.8215781712846167,4.529629089403834,0.2871784061753193
19,False,6.0,140.0,0.0027175589195451984,24.0,60.0,True,50.87819395334119,0.911195932315896,6.060439676322787,0.15961539264520289
20,False,1.0,85.0,0.00043032356619299394,33.0,120.0,True,50.63865797663978,1.0617072502014517,5.581779641836362,0.07946108010300104
21,False,4.0,115.0,0.00010854035667974223,30.0,100.0,True,52.435949934020485,0.3348953034034128,7.206046531677277,0.04489347935686592
22,False,14.0,75.0,2.3450897590837523e-05,48.0,120.0,True,52.0735860941252,1.1830841909773333,5.157209585242165,0.05337043475518013
23,False,12.0,70.0,0.00044330868386040846,33.0,120.0,True,51.65417897315028,1.0935030307266682,5.804247889354599,0.09214796156278401
24,False,7.0,115.0,0.000536299530926331,41.0,80.0,True,52.78233443892492,1.1205874078226037,5.581779641836362,0.22075798329352828
25,False,19.0,135.0,0.04751514313372961,15.0,60.0,True,49.74205664462758,0.6014324346597543,6.143463266494789,0.04492332338876914
26,False,17.0,140.0,0.08357287701541317,2.0,20.0,True,54.2219950267594,0.6261064527289466,7.379711119532835,0.05971823745386152
27,False,19.0,90.0,2.2335258194775122e-05,36.0,120.0,True,49.80918819912429,0.974409129450472,5.536213331493574,0.042181682717197
28,False,18.0,20.0,0.08357287701541317,6.0,20.0,True,51.78993325989532,1.0745021497595062,4.853573446116123,0.1531806045071008
29,False,13.0,80.0,0.005092840658489658,39.0,120.0,True,50.663061992052704,1.1079326118195607,5.157209585242165,0.03944091511544354
30,False,19.0,50.0,,,,False,50.00279904153432,1.067173608095588,5.397206712473788,0.04936454259886706
31,False,5.0,15.0,0.08357287701541317,6.0,20.0,True,52.10447953148069,1.0528586680207823,5.058023217591067,0.15672482725886272
32,False,11.0,120.0,0.000536299530926331,25.0,80.0,True,51.19516530640993,0.80837707500897,5.490268858042882,0.1893438274816691
33,False,14.0,105.0,2.353698220730025e-05,58.0,120.0,True,52.142038022814425,1.1866303029525715,5.3025115238676035,0.042838343413100305
34,False,8.0,45.0,0.08357287701541317,8.0,20.0,True,52.030415588446644,1.1618554105169197,5.206094181276915,0.08694655790419864
35,False,10.0,105.0,2.2346981053038265e-05,32.0,120.0,True,53.44890229890971,1.1845695794865003,5.397206712473788,0.013879618672777856
36,False,4.0,100.0,2.2335258194775122e-05,32.0,120.0,True,49.07709710471218,0.36247146059420454,6.845512941670714,0.038987286452174814
37,False,9.0,115.0,2.4955903304529582e-05,37.0,120.0,True,52.539200470270835,1.1447136255809551,5.671814154787007,0.15238323721621042
38,False,0.0,85.0,2.2335258194775122e-05,42.0,120.0,True,54.06842978412623,1.1022160982145242,5.8908832442597845,0.11605986153020416
39,False,16.0,75.0,0.00042632726948741464,33.0,120.0,True,54.43286695383571,0.9723099573087874,6.143463266494789,0.027304085298522986
40,False,12.0,100.0,0.0004498379205761268,36.0,120.0,True,50.7917107540659,1.055114960025181,5.933726595969213,0.08346354352185077
41,False,7.0,40.0,0.0027175589195451984,24.0,60.0,True,52.172241417002496,1.1823342366928833,5.3025115238676035,0.2731416798049637
42,False,12.0,50.0,0.0889606609008043,1.0,20.0,True,51.36299253122274,1.1143661188802976,5.626976975981913,0.08803778952856084
43,False,18.0,60.0,2.3426357066076453e-05,29.0,120.0,True,51.69966074603608,0.9900961466215256,5.716299653154471,0.11350096939227534
44,False,13.0,120.0,0.021671508380121537,36.0,100.0,True,50.58870755002552,1.039064099575525,5.206094181276915,0.029274805093878264
45,False,9.0,40.0,0.08357287701541317,3.0,20.0,True,52.30854027856965,1.17328271740213,5.397206712473788,0.14157833256061986
46,False,2.0,35.0,,,,False,51.35413329015927,1.0245967489901306,5.397206712473788,0.06183188736357518
47,False,6.0,45.0,,,,False,50.99670806677574,1.132408494863198,5.3025115238676035,0.16491555639435906
48,False,10.0,125.0,0.00010854035667974223,32.0,100.0,True,53.99025207729325,1.1698231487932682,5.626976975981913,0.01495357627018272
49,False,7.0,125.0,0.014378938734372038,19.0,40.0,True,53.10661720963111,1.0981962206205234,5.626976975981913,0.21683755346765324
50,False,1.0,20.0,,,,False,50.99996527646398,1.1448921920831152,4.853573446116123,0.1321970412484366
51,False,15.0,120.0,0.0027175589195451984,28.0,60.0,True,60.160684215008274,0.7724243806682731,6.184557124401271,0.04884191916307798
52,False,19.0,140.0,0.08357287701541317,4.0,20.0,True,49.408189948526946,0.5360212766914465,6.184557124401271,0.044921103037517576
53,False,15.0,75.0,0.00044606778474819256,34.0,120.0,True,56.177652144524544,1.0216395492950694,5.671814154787007,0.06050847100111001
54,False,11.0,60.0,2.2335258194775122e-05,41.0,120.0,True,51.682729948120226,0.9805249067418629,5.3025115238676035,0.2480079693803813
55,False,5.0,65.0,0.08357287701541317,6.0,20.0,True,53.32233792891444,1.0660085436745321,5.804247889354599,0.12223857450552297
56,False,13.0,125.0,0.00011447950895610617,40.0,100.0,True,50.444321341559835,1.0429271890408514,5.206094181276915,0.029831475134041472
57,False,18.0,45.0,0.014378938734372038,11.0,40.0,True,51.90342248001752,1.0317530952855543,5.490268858042882,0.12763125753592827
58,False,1.0,140.0,0.047403335363854666,17.0,60.0,True,49.87670146870688,0.9258988965167697,6.060439676322787,0.0662628720153794
59,False,10.0,5.0,,,,False,51.136024630255235,1.050915947395411,4.240814791583683,0.17237088205781184
60,False,13.0,135.0,0.0005371624717700695,29.0,80.0,True,50.591783864340904,1.0141733071718397,5.254524007228157,0.027354348360200818
61,False,1.0,55.0,,,,False,50.750755242656,1.1229295511673199,5.443936646892927,0.09034509974688056
62,False,6.0,105.0,0.0020456468275646916,47.0,100.0,True,51.13477208364781,1.0798862830766267,5.626976975981913,0.1559883971324744
63,False,18.0,10.0,,,,False,51.75922563366132,0.9966836189346647,4.6401240849784156,0.1949284406646935
64,False,4.0,15.0,0.08357287701541317,4.0,20.0,True,50.39111486295727,0.7857635994558374,5.107857162049657,0.11172818053231162
65,False,2.0,15.0,0.08357287701541317,5.0,20.0,True,51.5079127580119,1.034561532815117,4.853573446116123,0.11894082696078713
66,False,11.0,45.0,,,,False,51.144985369502734,1.0529916358354667,5.058023217591067,0.27111848744296885
67,False,10.0,145.0,0.0027175589195451984,23.0,60.0,True,54.29361273366274,1.1573398073859256,5.716299653154471,0.01750265675636823
68,False,16.0,140.0,0.2287309972433006,5.0,40.0,True,54.607744024272115,0.7440091026567379,7.3107403435858105,0.027894476764559157
69,False,19.0,75.0,4.871692543498487e-06,47.0,140.0,True,49.93554021779516,1.0063888994941195,5.443936646892927,0.04066662206308194
70,False,3.0,30.0,0.014378938734372038,12.0,40.0,True,53.221904750847045,1.0266661397052204,5.350068633107469,0.09794618289729987
71,False,16.0,80.0,2.3463177024575275e-05,33.0,120.0,True,54.37475372043971,0.9381678697222051,6.225379726827448,0.02626587746977874
72,False,12.0,105.0,0.0004486441505629272,34.0,120.0,True,51.0533915057692,1.0554955381988285,5.9762628149976855,0.08177825110648632
73,False,11.0,105.0,0.00010854035667974223,38.0,100.0,True,51.74146607749334,0.8490739750950959,5.443936646892927,0.19922130055779824
74,False,11.0,25.0,,,,False,49.98984474464231,1.084308155040196,4.853573446116123,0.3210947051922733
75,False,14.0,35.0,0.08357287701541317,13.0,20.0,True,51.800364251678786,1.1979303082671233,5.058023217591067,0.08607076944498958
