,trial,length_minutes,cell_hd_corr
151,14.0,1.0,-0.2398509386454963
152,1.0,1.0,-0.05027820349703552
153,12.0,1.0,-0.08853550353171312
154,10.0,1.0,-0.2314277721618026
155,15.0,1.0,-0.054174386493121174
156,2.0,1.0,-0.10712279473795423
157,3.0,1.0,-0.2055038780467568
158,9.0,1.0,-0.1300153487689667
159,7.0,200.0,-0.1361773090726104
160,6.0,200.0,0.40339517312710915
161,19.0,200.0,0.20492427698876778
162,3.0,200.0,0.020466940646561013
163,8.0,200.0,-0.46815284170741345
164,13.0,200.0,0.14148984207074095
165,2.0,200.0,0.5188387305410007
166,4.0,200.0,-0.11371414841349088
167,9.0,200.0,0.020659030513785016
168,18.0,200.0,0.3072212044555317
169,11.0,200.0,0.5512562416777698
170,13.0,45.0,0.8789491043519017
171,3.0,45.0,0.43512675923612854
172,2.0,45.0,0.773069941307719
173,15.0,45.0,0.7051040361967575
174,7.0,45.0,0.5944245288987179
175,8.0,45.0,0.3456016740648708
176,5.0,45.0,0.5770417491729829
177,19.0,45.0,0.6302910442188578
178,6.0,45.0,0.8556840696415408
179,9.0,40.0,0.654774316837119
180,3.0,40.0,0.4396371321137582
181,7.0,40.0,0.6031460959291424
182,18.0,40.0,0.6202176178057802
183,2.0,40.0,0.7734554545925787
184,14.0,40.0,0.6709216716950615
185,8.0,40.0,0.33131261155969416
186,17.0,40.0,0.5076234173966038
187,5.0,40.0,0.5391506669868765
188,12.0,40.0,0.6591090893153551
189,8.0,150.0,-0.395191916965861
190,12.0,150.0,0.6108371416880305
191,7.0,150.0,0.07521548076943176
192,11.0,150.0,0.6045501060156194
193,5.0,150.0,0.17251950389122436
194,6.0,150.0,0.613508956078055
195,19.0,150.0,0.32597448802637163
196,4.0,150.0,0.26311614996413984
197,15.0,150.0,0.40818659633731513
198,3.0,150.0,0.13626764446055092
199,14.0,150.0,0.4362724567674884
200,13.0,150.0,0.45414420063002775
201,8.0,100.0,-0.23911575375256838
202,7.0,100.0,0.19477498058811687
203,12.0,100.0,0.4167626797248408
204,15.0,100.0,0.3387278274625376
205,6.0,100.0,0.6386208362707608
206,10.0,100.0,0.7795571713655288
207,2.0,100.0,0.6746192687153643
208,3.0,100.0,0.005040583015960876
209,9.0,100.0,-0.12225892824458962
210,4.0,100.0,0.3850904256688393
211,7.0,35.0,0.5313762807223991
212,3.0,35.0,0.46365254656586213
213,5.0,35.0,0.5257179796714744
214,19.0,35.0,0.6380500822808306
215,8.0,35.0,0.3621140526352185
216,15.0,35.0,0.6608310241918208
217,2.0,35.0,0.7681359618291687
218,17.0,30.0,0.44356405655926184
219,7.0,30.0,0.501305685266482
220,3.0,30.0,0.43329778184669004
221,0.0,30.0,0.6482579208888896
222,9.0,30.0,0.5846288783805527
223,19.0,30.0,0.5983770216583486
224,12.0,30.0,0.8224698999873524
225,5.0,30.0,0.5245011938894644
226,2.0,30.0,0.7627650469593562
227,11.0,25.0,0.5214529440425046
228,6.0,25.0,0.5834275140504448
229,5.0,25.0,0.2955802456484538
230,2.0,25.0,0.6737608487195532
231,7.0,25.0,0.3462110400385303
232,19.0,25.0,0.4286041843432641
233,9.0,25.0,0.40925473618397346
234,3.0,25.0,0.24056657281352853
235,14.0,25.0,0.432775890630565
236,12.0,25.0,0.672716946862319
237,2.0,20.0,0.6252118797079758
238,9.0,20.0,0.24673523811794534
239,11.0,20.0,0.48334964319974427
240,18.0,20.0,0.3303497537857921
241,14.0,20.0,0.3462184261768687
242,17.0,20.0,0.11270444948368334
243,5.0,20.0,0.2110952917343158
244,7.0,20.0,0.08835035953366427
245,15.0,20.0,0.6282755530381142
246,12.0,20.0,0.5750214215626134
247,8.0,20.0,0.01024796738559644
248,13.0,20.0,0.627464842470845
249,10.0,20.0,0.7241111185095161
250,19.0,20.0,0.38523246977607956
251,16.0,20.0,0.03224619432965358
252,1.0,20.0,0.33137303431279885
253,4.0,20.0,0.30147407792298675
254,3.0,20.0,0.21234757859302905
255,3.0,9.0,0.4651301942908107
256,15.0,9.0,0.6942847145907914
257,14.0,9.0,0.6088607738290743
258,2.0,9.0,0.6526551378929911
259,8.0,9.0,0.18531828850766446
260,5.0,9.0,0.6887535878358838
261,9.0,9.0,0.5982209992640757
262,12.0,9.0,0.7263009984467417
263,18.0,9.0,0.5945012607240127
264,6.0,9.0,0.5292635168665838
265,14.0,250.0,0.28153414999144766
266,13.0,250.0,0.3773501109392227
267,5.0,250.0,-0.26913101538363904
268,2.0,250.0,0.43977391208314
269,7.0,250.0,0.04013758009323414
270,6.0,250.0,0.6280009395160381
271,3.0,250.0,0.0963739242754872
272,8.0,250.0,-0.3755464753929988
273,12.0,250.0,0.2620646296887377
274,9.0,250.0,-0.09776165880677211
275,11.0,15.0,0.41249774642390996
276,7.0,15.0,-0.02569956328721393
277,9.0,15.0,0.3475652352908177
278,19.0,15.0,0.36479764154810435
279,0.0,15.0,0.36102389963038695
280,5.0,15.0,0.2815481254088136
281,2.0,15.0,0.520709406086436
282,15.0,15.0,0.6204926570480718
283,8.0,15.0,-0.11728998048975367
284,12.0,15.0,0.47645174740932983
285,17.0,15.0,0.029675336570944216
286,3.0,15.0,0.26320226809884634
287,18.0,10.0,0.47874227247372975
288,13.0,10.0,0.3790856502910474
289,10.0,10.0,0.7338641024348819
290,14.0,10.0,0.49376063126765773
291,8.0,10.0,-0.011660238959382577
292,3.0,10.0,0.2677567583925495
293,5.0,10.0,0.5332778834747333
294,6.0,10.0,0.4432066601203168
295,11.0,8.0,0.045151506130039654
296,12.0,8.0,0.432373152099145
297,5.0,8.0,0.3769983160185219
298,15.0,8.0,0.4901395555735408
299,8.0,8.0,-0.19656638646329447
300,7.0,8.0,-0.09195208165066665
301,3.0,8.0,0.06987274326859728
302,17.0,8.0,0.18227900797540925
303,4.0,8.0,0.045572673261081255
304,9.0,8.0,0.30220578649085156
305,15.0,120.0,0.22370613517557195
306,12.0,120.0,0.30789985870717124
307,3.0,120.0,-0.060359647178730325
308,13.0,120.0,0.4176479656802502
309,10.0,120.0,0.684800883671114
310,8.0,120.0,-0.3971570893793782
311,4.0,120.0,0.18268182959388563
312,7.0,120.0,-0.01616180175459095
313,7.0,600.0,0.3998840530014042
314,9.0,600.0,0.6207182381924771
315,6.0,600.0,0.9076556065040531
316,14.0,600.0,0.844126174299338
317,11.0,600.0,0.8341162159926148
318,5.0,600.0,0.608071585262083
319,12.0,600.0,0.876033697355689
320,13.0,600.0,0.7517812343485116
321,0.0,600.0,0.6826526988693892
322,4.0,600.0,0.3748462937830975
