,control,trial,length_minutes,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score,id,corr_between_frac_0_01
0,False,3.0,80.0,4.650663710441662e-06,50,140,True,49.38317243663667,1.1082159416049528,5.350068633107469,0.010938037088807584,80.0_3.0,0.6458333333333334
1,False,13.0,80.0,0.00010854035667974223,55,100,True,50.74991852358014,0.9661586633812257,5.443936646892927,0.14036285021110687,80.0_13.0,0.7083333333333334
2,False,11.0,80.0,2.2335258194775122e-05,50,120,True,51.39684831661312,1.030788561828879,5.206094181276915,0.10363700212651415,80.0_11.0,0.8857142857142857
3,False,18.0,80.0,4.650663710441662e-06,64,140,True,49.362388651725055,1.0811259289551876,5.206094181276915,0.10111577214265792,80.0_18.0,0.6875
4,False,4.0,80.0,4.650663710441662e-06,73,140,True,49.4816481554681,1.0495172434202702,5.397206712473788,0.10202445145781784,80.0_4.0,0.8125
5,False,2.0,80.0,2.2335258194775122e-05,51,120,True,51.0116125453863,0.9883069122291104,5.443936646892927,0.1658262033201643,80.0_2.0,0.7428571428571429
6,False,19.0,80.0,4.650663710441662e-06,75,140,True,50.52887493919438,1.1480351711324237,5.254524007228157,0.0560243381692601,80.0_19.0,0.75
7,False,16.0,80.0,2.2335258194775122e-05,51,120,True,49.70110998472339,0.714181316786602,5.9762628149976855,0.0377597319174519,80.0_16.0,0.6857142857142857
8,False,10.0,80.0,2.2335258194775122e-05,66,120,True,50.485740509248025,1.1790359339160312,5.254524007228157,0.2065746164257706,80.0_10.0,0.8857142857142857
9,False,15.0,80.0,0.00010854035667974223,50,100,True,50.71272322858959,1.20500658994248,5.350068633107469,0.04541990834108602,80.0_15.0,0.8333333333333334
10,False,8.0,80.0,2.2335258194775122e-05,60,120,True,49.75020044454296,1.0462119868226338,5.350068633107469,0.05558266323994715,80.0_8.0,0.7714285714285715
11,False,12.0,80.0,4.650663710441662e-06,68,140,True,49.42237231223509,1.082384301199307,5.443936646892927,0.0901801242059312,80.0_12.0,0.7916666666666666
12,False,9.0,80.0,2.2335258194775122e-05,58,120,True,47.70519900994364,0.8082051015898815,5.760441618735983,0.0630581789678007,80.0_9.0,0.7142857142857143
13,False,5.0,80.0,2.2335258194775122e-05,67,120,True,50.17935677360917,1.0449071989524688,5.443936646892927,0.054118352259673194,80.0_5.0,0.6
14,False,14.0,80.0,2.2335258194775122e-05,62,120,True,49.626762226949225,0.8965149009107589,5.804247889354599,0.09542170451302508,80.0_14.0,0.7428571428571429
15,False,17.0,7.0,9.25911787031525e-05,23,140,True,50.964733855785965,0.9236252909026258,5.007693376343903,0.059090814450615335,7.0_17.0,0.6458333333333334
16,False,12.0,7.0,0.001159391147323422,13,140,True,47.999007091987394,0.8742321519748308,5.206094181276915,0.08059762931969439,7.0_12.0,0.6666666666666666
17,False,19.0,7.0,2.2335258194775122e-05,32,120,True,52.66421502199839,1.1091271672026903,5.107857162049657,0.06959453674283181,7.0_19.0,0.4857142857142857
18,False,2.0,7.0,0.0020191939381380844,18,100,True,53.12957099189088,0.5791612577271484,5.671814154787007,0.13663903708592534,7.0_2.0,0.5
19,False,13.0,7.0,0.08698961015268349,5,80,True,50.55877526976084,0.7579428172568489,5.536213331493574,0.07448446582339543,7.0_13.0,0.6
20,False,4.0,7.0,0.0011918002106976187,13,140,True,49.836607632687105,0.6742782095038397,5.397206712473788,0.013395597531620623,7.0_4.0,0.5833333333333334
21,False,14.0,7.0,0.9834340300880067,0,20,True,50.024604897076784,0.6006527098212326,5.397206712473788,0.044197231623622206,7.0_14.0,
22,False,7.0,7.0,0.009521906270051983,24,140,True,52.18884059373551,0.8184036258636651,5.058023217591067,0.053210176928633945,7.0_7.0,0.6041666666666666
23,False,9.0,7.0,0.00512266098033894,17,120,True,48.11219074683219,0.499352071428726,5.671814154787007,0.09172107527344701,7.0_9.0,0.6285714285714286
24,False,8.0,7.0,0.1677505115548198,8,120,True,48.23077764727829,0.7453657842131179,5.490268858042882,0.05382721498085012,7.0_8.0,0.4
25,False,3.0,7.0,0.13266516310941628,3,100,True,47.86617076834433,0.8396555141393927,5.350068633107469,0.010997640656738774,7.0_3.0,0.625
26,False,14.0,500.0,2.2335258194775122e-05,99,120,True,49.772180428174565,0.9522445867191042,5.760441618735983,0.06393869181835139,500.0_14.0,0.7714285714285715
27,False,3.0,500.0,2.2335258194775122e-05,84,120,True,51.062660533845445,1.1624738010651983,5.536213331493574,0.030680209635971636,500.0_3.0,0.7714285714285715
28,False,8.0,500.0,2.2335258194775122e-05,97,120,True,51.92605478216599,1.0851932259424184,5.671814154787007,0.023268032723462975,500.0_8.0,0.7142857142857143
29,False,6.0,500.0,2.2335258194775122e-05,91,120,True,50.695349954971206,1.0951977798639831,5.443936646892927,0.11131293933745147,500.0_6.0,0.7428571428571429
30,False,2.0,500.0,0.00010854035667974223,54,100,True,51.911892821523566,0.9701197078375554,5.536213331493574,0.0928807452713333,500.0_2.0,0.75
31,False,5.0,500.0,2.2335258194775122e-05,101,120,True,50.94950707875899,1.1213788128299516,5.397206712473788,0.06487219817512138,500.0_5.0,0.7714285714285715
32,False,17.0,500.0,4.650663710441662e-06,120,140,True,51.17383921249942,1.114843734174868,5.254524007228157,0.025642798888923787,500.0_17.0,0.7916666666666666
33,False,12.0,6.0,0.0011781960325348063,12,140,True,48.56836025767306,0.9002628092352467,5.254524007228157,0.06915065864858892,6.0_12.0,0.5833333333333334
34,False,2.0,6.0,0.0020821331191088308,20,100,True,53.80938164756324,0.7032057571369442,5.581779641836362,0.17109035922663135,6.0_2.0,0.4583333333333333
35,False,8.0,6.0,0.0880725443264037,3,80,True,48.35023013495348,0.6861371718050102,5.443936646892927,0.04657836006046572,6.0_8.0,0.3333333333333333
